method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
failure_stratified_engine,4,0.60,0.10000,0.16706,0.03415,0.90000,0.34212,0.70000
failure_stratified_engine_v5,4,0.60,0.10000,0.21686,0.08293,0.90000,0.37291,0.70000
oracle_failure_strata,4,0.60,0.10000,0.23708,0.12317,0.90000,0.32265,0.70000
uncertainty_sampling,5,0.60,0.00000,0.22480,0.12000,1.00000,0.49936,0.90000
failure_prediction_active_learning,5,0.60,0.00000,0.12418,0.03077,1.00000,0.55562,0.90000
calibrated_failure_risk,5,0.60,0.00000,0.12633,0.03077,1.00000,0.55590,0.90000
hybrid_diversity_risk,5,0.60,0.00000,0.18470,0.06667,1.00000,0.55814,0.90000
failure_stratified_engine,5,0.60,0.10000,0.13678,0.04205,0.90000,0.51343,0.80000
failure_stratified_engine_v5,5,0.60,0.10000,0.17535,0.05949,0.90000,0.51827,0.80000
oracle_failure_strata,5,0.60,0.00000,0.23779,0.14667,1.00000,0.48547,0.90000
uncertainty_sampling,6,0.60,0.00000,0.27308,0.10396,1.00000,0.32747,0.80000
failure_prediction_active_learning,6,0.60,0.00000,0.23706,0.07525,1.00000,0.34722,0.80000
calibrated_failure_risk,6,0.60,0.00000,0.23586,0.07525,1.00000,0.36217,0.80000
hybrid_diversity_risk,6,0.60,0.00000,0.30707,0.18636,1.00000,0.42274,0.80000
failure_stratified_engine,6,0.60,0.00000,0.23539,0.06465,1.00000,0.28870,0.80000
failure_stratified_engine_v5,6,0.60,0.00000,0.25264,0.07525,1.00000,0.33102,0.80000
oracle_failure_strata,6,0.60,0.00000,0.37122,0.24346,1.00000,0.28981,0.80000
uncertainty_sampling,7,0.60,0.00000,0.26355,0.16734,1.00000,0.36705,0.80000
failure_prediction_active_learning,7,0.60,0.00000,0.23986,0.09618,1.00000,0.36932,0.80000
calibrated_failure_risk,7,0.60,0.00000,0.23093,0.08190,1.00000,0.35938,0.80000
hybrid_diversity_risk,7,0.60,0.00000,0.23630,0.08812,1.00000,0.41386,0.80000
failure_stratified_engine,7,0.60,0.00000,0.27572,0.14124,1.00000,0.33955,0.80000
failure_stratified_engine_v5,7,0.60,0.00000,0.27941,0.14664,1.00000,0.36590,0.80000
oracle_failure_strata,7,0.60,0.00000,0.30506,0.23208,1.00000,0.32462,0.80000
uncertainty_sampling,0,0.80,0.00000,0.46549,0.60722,1.00000,0.10152,1.00000
failure_prediction_active_learning,0,0.80,0.00000,0.48652,0.58722,1.00000,0.10104,1.00000
calibrated_failure_risk,0,0.80,0.00000,0.47921,0.54889,1.00000,0.10129,1.00000
hybrid_diversity_risk,0,0.80,0.00000,0.45941,0.56889,1.00000,0.15728,1.00000
failure_stratified_engine,0,0.80,0.00000,0.50732,0.73833,1.00000,0.06383,1.00000
failure_stratified_engine_v5,0,0.80,0.00000,0.45250,0.53556,1.00000,0.13590,1.00000
oracle_failure_strata,0,0.80,0.00000,0.50153,0.71778,1.00000,0.06311,1.00000
uncertainty_sampling,1,0.80,0.00000,0.51977,0.77478,1.00000,0.07796,0.90000
failure_prediction_active_learning,1,0.80,0.00000,0.52532,0.77259,1.00000,0.08616,0.90000
calibrated_failure_risk,1,0.80,0.00000,0.51839,0.75482,1.00000,0.08646,0.90000
hybrid_diversity_risk,1,0.80,0.00000,0.45963,0.64452,1.00000,0.12823,0.90000
failure_stratified_engine,1,0.80,0.00000,0.51644,0.76754,1.00000,0.05491,0.90000
failure_stratified_engine_v5,1,0.80,0.00000,0.49029,0.70811,1.00000,0.09183,0.90000
oracle_failure_strata,1,0.80,0.00000,0.55474,0.94671,1.00000,0.04872,0.90000
uncertainty_sampling,2,0.80,0.00000,0.47065,0.52589,1.00000,0.11175,0.90000
failure_prediction_active_learning,2,0.80,0.00000,0.46349,0.41909,1.00000,0.09481,0.90000
calibrated_failure_risk,2,0.80,0.00000,0.45837,0.41897,1.00000,0.10087,0.90000
hybrid_diversity_risk,2,0.80,0.00000,0.48993,0.55289,1.00000,0.12161,0.90000
